ddbs,gt,steps_to_atk,predictions
2.842268943786621,0,1,23
2.769134283065796,0,1,17
2.922874927520752,0,2,17
2.8820579051971436,0,1,127
2.810774564743042,0,1,191
2.791362762451172,0,1,43
2.891972780227661,0,1,46
2.8593785762786865,0,1,130
2.6889290809631348,0,1,189
2.762056589126587,0,1,181
2.70169997215271,0,1,48
2.874835729598999,0,1,13
2.6655631065368652,0,1,194
2.8088269233703613,0,1,174
2.9481256008148193,0,1,11
2.920153856277466,0,1,155
2.9024486541748047,0,1,185
2.56518816947937,0,1,26
2.914088726043701,0,1,196
2.8475165367126465,0,1,186
2.668821334838867,0,1,151
2.7770111560821533,0,1,46
2.904115915298462,0,2,76
2.863163948059082,0,2,47
2.732447385787964,0,1,13
2.7217001914978027,0,1,83
2.8615779876708984,0,1,42
2.6996397972106934,0,1,187
2.8170342445373535,0,1,91
2.822472095489502,0,1,189
2.9151651859283447,0,1,189
2.7459182739257812,0,2,17
2.7921462059020996,0,1,174
2.7788383960723877,0,1,110
2.7320001125335693,0,2,104
2.993321180343628,0,1,17
2.87225604057312,0,1,185
2.7865047454833984,0,1,185
2.807354211807251,0,1,45
2.831822395324707,0,1,46
2.6845884323120117,0,1,17
2.6660451889038086,0,1,11
2.7516214847564697,0,1,17
2.7439968585968018,0,1,63
2.9482977390289307,0,1,168
2.9543492794036865,0,1,192
2.744433879852295,0,1,29
2.6639702320098877,0,1,69
2.86141037940979,0,1,74
2.7097790241241455,0,1,58
2.9722583293914795,0,2,59
2.755814552307129,0,2,28
2.591249942779541,0,1,58
2.641373634338379,0,1,163
2.8777263164520264,0,1,174
2.8067455291748047,0,1,17
2.833310604095459,0,1,185
2.8053371906280518,0,1,58
2.8161563873291016,0,1,163
2.648879051208496,0,1,194
2.9211223125457764,0,1,168
2.578099012374878,0,1,175
2.854999542236328,0,2,185
2.658059597015381,0,1,125
2.9704437255859375,0,1,14
2.9507944583892822,0,1,184
2.7090578079223633,0,2,163
2.868544816970825,0,1,185
2.8552048206329346,0,1,19
2.876113176345825,0,2,17
2.6959879398345947,0,1,63
2.7259700298309326,0,1,17
2.8124194145202637,0,1,191
2.736926317214966,0,1,64
2.696033477783203,0,1,107
2.7105014324188232,0,1,13
2.8550920486450195,0,3,181
2.6652865409851074,0,1,130
2.934558391571045,0,2,169
2.7921996116638184,0,2,47
2.8628897666931152,0,1,184
2.84848690032959,0,2,47
2.693723440170288,0,2,13
2.88967227935791,0,2,21
2.7766125202178955,0,2,188
2.8385818004608154,0,2,112
2.697974920272827,0,1,17
2.5459067821502686,0,2,188
2.5809383392333984,0,1,187
2.7408342361450195,0,2,58
2.86002254486084,0,1,168
2.8284237384796143,0,2,161
2.8944947719573975,0,2,36
2.7655882835388184,0,1,9
2.748743772506714,0,1,45
2.698378562927246,0,2,188
2.643789052963257,0,1,143
2.7299625873565674,0,1,46
2.817957878112793,0,1,17
2.8867580890655518,0,2,188
2.754405975341797,0,2,182
2.954782485961914,0,1,142
2.9402921199798584,0,1,121
2.8082528114318848,0,1,43
2.7658722400665283,0,1,13
2.8946011066436768,0,2,182
2.78715443611145,0,2,36
2.6775588989257812,0,3,180
2.6887593269348145,0,1,13
2.834911346435547,0,1,144
2.790130853652954,0,1,192
2.855966329574585,0,2,197
2.8483104705810547,0,2,185
2.7976315021514893,0,1,159
2.875946521759033,0,1,174
2.7588210105895996,0,1,152
2.917083978652954,0,2,182
2.567976713180542,0,1,180
2.820230007171631,0,1,18
2.79008412361145,0,2,64
2.823099136352539,0,1,187
2.971329689025879,0,1,176
2.8681445121765137,0,1,46
2.892113447189331,0,2,161
2.9269866943359375,0,1,17
2.9057345390319824,0,2,185
2.795583963394165,0,1,6
2.8693268299102783,0,1,83
2.7088098526000977,0,1,189
2.8355467319488525,0,1,46
2.932126522064209,0,1,17
2.9529061317443848,0,1,185
2.8665151596069336,0,1,31
2.6312193870544434,0,2,137
2.8419511318206787,0,1,113
2.8169174194335938,0,1,18
2.8643453121185303,0,1,163
2.6398158073425293,0,1,13
2.7078559398651123,0,2,169
2.8819782733917236,0,1,142
